drug,indirect_gene,risk_gene,xgb_importance,rf_importance,univariate_hr,multivariate_hr
ACETAMINOPHEN,"PTGES3,PTGS2,TRPV1","DNAJB11,KNG1,TP53",0.004543419,0.018135745788246,0.9637878512023672,0.9952859573414428
ALBUTEROL,"ADRB2,ADRB3","ADIPOQ,SST",0.006684706,0.0070240557907768,0.926996334345042,0.9793592493171516
AMLODIPINE,"CACNA1C,CACNA2D1","CATSPERD,KCND2",0.0042062923,0.0037835191174006,0.9416290449308016,1.0166697665127904
ATORVASTATIN,"DPP4,HDAC2","ACTL6A,ENPEP,MECOM,PHC3,SI,TBL1XR1,TP53",0.008873704,0.0067246003565842,0.9358838747975152,0.9968026775390502
BUSPIRONE,"DRD2,DRD3,DRD4,HTR1A","GNB4,SST",0.0,0.0004067854514133,0.7720279791438982,0.7556872654558113
CARVEDILOL,"ADRB2,HIF1A,KCNH2,NDUFC2","CDKN2A,DCUN1D1,KCNA4,KCND2,NDUFB5,SOX2,SST,TP53",0.0,0.0021702056337479,0.9271747212888314,0.9859510715367636
DOXAZOSIN,KCNH2,"KCNA4,KCND2",0.0,0.0005143793181613,0.9411644455133916,1.0815664051560872
DULOXETINE,SLC6A3,"GPR37,SLC17A6",0.0,0.0009015532670783,0.9288386275276554,0.997352286984844
FUROSEMIDE,SLC12A1,CLDN16,0.008959102,0.0039393925830507,0.8626793540685261,0.9766569845036976
HYDRALAZINE,"HIF1A,P4HA1","CDKN2A,DCUN1D1,P3H2,SOX2,TP53",0.0067201713,0.003123041909741,0.8955813192049786,1.0115874873587576
IPRATROPIUM,"CHRM1,CHRM2,CHRM3","GNB4,KNG1,SST",0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
LEVOTHYROXINE,"ITGAV,ITGB3,THRA,THRB","COL1A2,ITGA8,PIK3CA,TP53",0.004997129,0.0057290238176554,0.961764999581074,1.0112778982673851
LISINOPRIL,"ACE,REN",KNG1,0.003280784,0.0044236060233882,0.9133033194711524,0.9560901902848608
LORATADINE,KCNH2,"KCNA4,KCND2",0.0,0.0008133287913771,0.6762991123919163,0.9142677259046312
LOSARTAN,"AGTR1,EPOR","KNG1,THPO",0.0,0.0024724223100542,0.8656443212427187,0.9702152845802984
MELATONIN,"CALM1,CALR,ESR1,MTNR1A,MTNR1B","ADIPOQ,DNAJB11,FAT1,GNB4,HRAS,PIK3CA,RAC1,TP53",0.010571836,0.0029964565539177,0.907962190722361,0.9768985588332466
METHYLPREDNISOLONE,"ANXA1,NR3C1","SOX2,TP53",0.004250356,0.0040834205027294,0.7551054601807309,0.8236324760306041
METOPROLOL,ADRB2,SST,0.003971007,0.0049694539209743,0.9402535471650748,1.0022594634996431
POTASSIUM CHLORIDE,SLC12A1,CLDN16,0.0062744245,0.0057461219674138,0.9104483258942714,0.9565791754596096
PRAVASTATIN,HDAC2,"ACTL6A,MECOM,PHC3,TBL1XR1,TP53",0.0,0.0012507508160771,0.9151087731128248,0.9906076876327364
PREDNISONE,NR3C1,TP53,0.009975646,0.0032170070012107,0.8920306215608245,1.0507694726582275
SERTRALINE,SLC6A3,"GPR37,SLC17A6",0.0,0.0015208694209967,0.9384909010292656,0.9977404320992648
THIAMINE,TPK1,TKTL2,0.010764693,0.0027377282286434,0.9725056397715643,1.0120778573394629
TRAMADOL,"ADORA1,CHRM1,CHRM3,GRIN1,OPRD1,OPRM1,SCN2A,TACR1,TRPV1","GNB4,GRIN3A,GRM3,KNG1,PCDH10,SST",0.009751712,0.0021334963984832,0.8876230464258011,1.031872170932833
VILANTEROL,ADRB2,SST,0.0,0.0007602094139917,0.823120859683893,0.9904730991294396
