drug,gene_drug,indirect_gene,risk_gene,polypeptide,gene_description,action,specific_function,toxicity,categories,xgb_importance,xgb_absolute_importance,rf_importance,univariate_hr,multivariate_hr
IPRATROPIUM,IPRATROPIUM,CHRM2,GNB4,Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2,antagonist,arrestin family protein binding,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
IPRATROPIUM,IPRATROPIUM,CHRM2,KNG1,Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2,antagonist,arrestin family protein binding,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
IPRATROPIUM,IPRATROPIUM,CHRM2,SST,Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2,antagonist,arrestin family protein binding,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
IPRATROPIUM,IPRATROPIUM,CHRM3,KNG1,Muscarinic acetylcholine receptor M3,Muscarinic acetylcholine receptor M3,antagonist,acetylcholine binding,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
IPRATROPIUM,IPRATROPIUM,CHRM1,KNG1,Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M1,antagonist,G protein-coupled acetylcholine receptor activity,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
IPRATROPIUM,IPRATROPIUM,CHRM1,SST,Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M1,antagonist,G protein-coupled acetylcholine receptor activity,"The reported LD50 in mice after oral administration of ipratropium is 1500 mg/kg.[MSDS] However, overdosage is not very likely due to the poor absorption of ipratropium.[FDA label]

Ipratropium was not shown to present carcinogenesis, teratogenesis not mutagenesis potential and it did not present effects on fertility. The only effect after high administration of ipratropium was a reduction in the conception rate.[FDA label]","Adrenergics, Inhalants, Agents producing tachycardia, Agents to Treat Airway Disease, Alkaloids, Anti-Asthmatic Agents, Anticholinergic Agents, Antimuscarinics Antispasmodics, Atropine Derivatives, Autonomic Agents, Aza Compounds, Azabicyclo Compounds, Belladonna Alkaloids, Bronchodilator Agents, Cholinergic Agents, Drugs for Obstructive Airway Diseases, Muscarinic Antagonists, Nasal Preparations, Neurotransmitter Agents, Peripheral Nervous System Agents, Respiratory System Agents, Solanaceous Alkaloids, Tropanes",0.014151487,0.014151487,0.0017791321900721,0.91671653958461,0.975211809959353
THIAMINE,THIAMINE,TPK1,TKTL2,Thiamine pyrophosphokinase 1,Thiamine pyrophosphokinase 1,substrate,ATP binding,"Thiamine toxicity is uncommon; as excesses are readily excreted, although long-term supplementation of amounts larger than 3 gram have been known to cause toxicity. Oral mouse LD<sub>50</sub> = 8224 mg/kg, oral rat LD<sub>50</sub> = 3710 mg/kg.","Alimentary Tract and Metabolism, Diet, Food, and Nutrition, Food, Growth Substances, Micronutrients, OCT1 substrates, OCT2 Inhibitors, Physiological Phenomena, Pyrimidines, Sulfur Compounds, Thiazoles, Vitamin B Complex, Vitamins",0.010764693,0.010764693,0.0027377282286434,0.9725056397715643,1.0120778573394629
MELATONIN,MELATONIN,CALM1,RAC1,Calmodulin-1,Calmodulin,,adenylate cyclase activator activity,"<p>Generally well-tolerated when taken orally. The most common side effects, day-time drowsiness, headache and dizziness, appear to occur at the same frequency as with placebo. Other reported side effects include transient depressive symptoms, mild tremor, mild anxiety, abdominal cramps, irritability, reduced alertness, confusion, nausea, vomiting, and hypotension. Safety in Adults: Evidence indicates that it is likely safe to use in oral and parenteral forms for up to two months when used appropriately. Some evidence indicates that it can be safely used orally for up to 9 months in some patients. It is also likely safe to use topically when used appropriately. Safety in Children: Melatonin appeared to be used safely in small numbers of children enrolled in short-term clinical trials. However, concerns regarding safety in children have arisen based on their developmental state. Compared to adults over 20 years of age, people under 20 produce high levels of melatonin. Melatonin levels are inversely related to gonadal development and it is thought that exogenous administration of melatonin may adversely affect gonadal development. Safety during Pregnancy: High doses of melatonin administered orally or parenterally may inhibit ovulation. Not advised for use in individuals who are pregnant or trying to become pregnant. Safety during Lactation: Not recommended as safety has not be established.</p>
<p>Oral, rat: LD<sub>50</sub> &ge;3200 mg/kg</p>
","Amines, Antioxidants, Biogenic Amines, Biogenic Monoamines, Biological Factors, Central Nervous System Agents, Central Nervous System Depressants, Compounds used in a research, industrial, or household setting, Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C9 Substrates, Cytochrome P-450 Substrates, Heterocyclic Compounds, Fused-Ring, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hypnotics and Sedatives, Indoles, Melatonin Receptor Agonists, Melatonin, agonists, Nervous System, OAT3/SLC22A8 Inhibitors, Protective Agents, Psycholeptics, Tryptamines",0.010571836,0.010571836,0.0029964565539177,0.907962190722361,0.9768985588332466
MELATONIN,MELATONIN,MTNR1B,FAT1,Melatonin receptor type 1B,Melatonin receptor type 1B,agonist,G protein-coupled receptor activity,"<p>Generally well-tolerated when taken orally. The most common side effects, day-time drowsiness, headache and dizziness, appear to occur at the same frequency as with placebo. Other reported side effects include transient depressive symptoms, mild tremor, mild anxiety, abdominal cramps, irritability, reduced alertness, confusion, nausea, vomiting, and hypotension. Safety in Adults: Evidence indicates that it is likely safe to use in oral and parenteral forms for up to two months when used appropriately. Some evidence indicates that it can be safely used orally for up to 9 months in some patients. It is also likely safe to use topically when used appropriately. Safety in Children: Melatonin appeared to be used safely in small numbers of children enrolled in short-term clinical trials. However, concerns regarding safety in children have arisen based on their developmental state. Compared to adults over 20 years of age, people under 20 produce high levels of melatonin. Melatonin levels are inversely related to gonadal development and it is thought that exogenous administration of melatonin may adversely affect gonadal development. Safety during Pregnancy: High doses of melatonin administered orally or parenterally may inhibit ovulation. Not advised for use in individuals who are pregnant or trying to become pregnant. Safety during Lactation: Not recommended as safety has not be established.</p>
<p>Oral, rat: LD<sub>50</sub> &ge;3200 mg/kg</p>
","Amines, Antioxidants, Biogenic Amines, Biogenic Monoamines, Biological Factors, Central Nervous System Agents, Central Nervous System Depressants, Compounds used in a research, industrial, or household setting, Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C9 Substrates, Cytochrome P-450 Substrates, Heterocyclic Compounds, Fused-Ring, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hypnotics and Sedatives, Indoles, Melatonin Receptor Agonists, Melatonin, agonists, Nervous System, OAT3/SLC22A8 Inhibitors, Protective Agents, Psycholeptics, Tryptamines",0.010571836,0.010571836,0.0029964565539177,0.907962190722361,0.9768985588332466
MELATONIN,MELATONIN,MTNR1B,GNB4,Melatonin receptor type 1B,Melatonin receptor type 1B,agonist,G protein-coupled receptor activity,"<p>Generally well-tolerated when taken orally. The most common side effects, day-time drowsiness, headache and dizziness, appear to occur at the same frequency as with placebo. Other reported side effects include transient depressive symptoms, mild tremor, mild anxiety, abdominal cramps, irritability, reduced alertness, confusion, nausea, vomiting, and hypotension. Safety in Adults: Evidence indicates that it is likely safe to use in oral and parenteral forms for up to two months when used appropriately. Some evidence indicates that it can be safely used orally for up to 9 months in some patients. It is also likely safe to use topically when used appropriately. Safety in Children: Melatonin appeared to be used safely in small numbers of children enrolled in short-term clinical trials. However, concerns regarding safety in children have arisen based on their developmental state. Compared to adults over 20 years of age, people under 20 produce high levels of melatonin. Melatonin levels are inversely related to gonadal development and it is thought that exogenous administration of melatonin may adversely affect gonadal development. Safety during Pregnancy: High doses of melatonin administered orally or parenterally may inhibit ovulation. Not advised for use in individuals who are pregnant or trying to become pregnant. Safety during Lactation: Not recommended as safety has not be established.</p>
<p>Oral, rat: LD<sub>50</sub> &ge;3200 mg/kg</p>
","Amines, Antioxidants, Biogenic Amines, Biogenic Monoamines, Biological Factors, Central Nervous System Agents, Central Nervous System Depressants, Compounds used in a research, industrial, or household setting, Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP2C19 Substrates, Cytochrome P-450 CYP2C9 Substrates, Cytochrome P-450 Substrates, Heterocyclic Compounds, Fused-Ring, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hypnotics and Sedatives, Indoles, Melatonin Receptor Agonists, Melatonin, agonists, Nervous System, OAT3/SLC22A8 Inhibitors, Protective Agents, Psycholeptics, Tryptamines",0.010571836,0.010571836,0.0029964565539177,0.907962190722361,0.9768985588332466
