drug,gene_drug,indirect_gene,risk_gene,polypeptide,gene_description,action,specific_function,toxicity,categories,xgb_importance,xgb_absolute_importance,rf_importance,univariate_hr,multivariate_hr
LEVOTHYROXINE,LEVOTHYROXINE,THRA,PIK3CA,Thyroid hormone receptor alpha,Thyroid hormone receptor alpha,agonist,chromatin DNA binding,"LD<sub>50</sub>=20 mg/kg (orally in rat). Hypermetabolic state indistinguishable from thyrotoxicosis of endogenous origin. Symptoms of thyrotoxicosis include weight loss, increased appetite, palpitations, nervousness, diarrhea, abdominal cramps, sweating, tachycardia, increased pulse and blood pressure, cardiac arrhythmias, tremors, insomnia, heat intolerance, fever, and menstrual irregularities.","Agents used to treat hypothyroidism, Amino Acids, Amino Acids, Aromatic, Amino Acids, Cyclic, Amino Acids, Peptides, and Proteins, Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (moderate), Cytochrome P-450 Enzyme Inhibitors, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Narrow Therapeutic Index Drugs, OATP1B1/SLCO1B1 Substrates, Organic Anion Transporting Polypeptide 2B1 Inhibitors, P-glycoprotein inducers, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins, Thyroid Products, Thyroxine-binding globulin substrates, UGT1A1 Substrates, UGT1A1 Substrates with a Narrow Therapeutic Index",0.044148307,0.044148307,0.0076567825137782,0.8814037619448988,0.9667153490374996
LEVOTHYROXINE,LEVOTHYROXINE,THRB,PIK3CA,Thyroid hormone receptor beta,Thyroid hormone receptor beta,agonist,chromatin DNA binding,"LD<sub>50</sub>=20 mg/kg (orally in rat). Hypermetabolic state indistinguishable from thyrotoxicosis of endogenous origin. Symptoms of thyrotoxicosis include weight loss, increased appetite, palpitations, nervousness, diarrhea, abdominal cramps, sweating, tachycardia, increased pulse and blood pressure, cardiac arrhythmias, tremors, insomnia, heat intolerance, fever, and menstrual irregularities.","Agents used to treat hypothyroidism, Amino Acids, Amino Acids, Aromatic, Amino Acids, Cyclic, Amino Acids, Peptides, and Proteins, Cytochrome P-450 CYP2C8 Inhibitors, Cytochrome P-450 CYP2C8 Inhibitors (moderate), Cytochrome P-450 Enzyme Inhibitors, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Narrow Therapeutic Index Drugs, OATP1B1/SLCO1B1 Substrates, Organic Anion Transporting Polypeptide 2B1 Inhibitors, P-glycoprotein inducers, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins, Thyroid Products, Thyroxine-binding globulin substrates, UGT1A1 Substrates, UGT1A1 Substrates with a Narrow Therapeutic Index",0.044148307,0.044148307,0.0076567825137782,0.8814037619448988,0.9667153490374996
ENOXAPARIN,ENOXAPARIN,F2,AHSG,Prothrombin,Prothrombin,inhibitor,calcium ion binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,F2,HRG,Prothrombin,Prothrombin,inhibitor,calcium ion binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,F2,KNG1,Prothrombin,Prothrombin,inhibitor,calcium ion binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,SERPINC1,AHSG,Antithrombin-III,Antithrombin-III,potentiator,heparin binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,SERPINC1,HRG,Antithrombin-III,Antithrombin-III,potentiator,heparin binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,SERPINC1,KNG1,Antithrombin-III,Antithrombin-III,potentiator,heparin binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,F10,HRG,Coagulation factor X,Coagulation factor X,inhibitor,calcium ion binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
ENOXAPARIN,ENOXAPARIN,F10,KNG1,Coagulation factor X,Coagulation factor X,inhibitor,calcium ion binding,"The oral LD50 for enoxaparin in mice is >5000 mg/kg; the subcutaneous LD50 of enoxaparin in mice is >2500 mg/kg.[L31558]
Accidental overdose after the administration of enoxaparin may cause hemorrhage. Enoxaparin administered by injection is mainly neutralized by gradual intravenous injection of a 1% protamine sulfate solution. The dose of protamine sulfate should be equal to the dose of enoxaparin administered: 1 mg protamine sulfate for 1 mg enoxaparin, of enoxaparin was administered in the previous 8 hours. If a minimum of 12 hours has passed since the last enoxaparin dose, protamine may not be necessary; it is important to avoid an overdose with protamine, as fatal reactions may occur.[L31393]","Agents causing hyperkalemia, Anticoagulants, Blood and Blood Forming Organs, Cardiovascular Agents, Fibrin Modulating Agents, Glycosaminoglycans, Hematologic Agents, Heparin (Low Molecular Weight), Heparin and similars, Heparin Group",0.04070912,0.04070912,0.0079165866116289,0.9247058025700856,1.0307973315443133
