,gene_name,MUT_TYPE,q_value,empirical_q_value,GENE,PMID,NUMBER_OF_ARTICLES
0,ABCC5,AMPLIFICATION,0.0,0.0038537981267857,ABCC5,18359711,1.0
1,BCL6,AMPLIFICATION,0.0,0.0038537981267857,BCL6,"11224600, 11420458, 14685876, 17429099",4.0
2,CDKN2A,"DELETION, SOMATIC","7.356022172760123e-290, 4.632181064319507e-128","0.0204120113119102, 0.0",CDKN2A,"11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807",16.0
3,CDKN2B,DELETION,6.9978781731841745e-279,0.0204120113119102,CDKN2B,"12632081, 17673925",2.0
4,CLDN1,AMPLIFICATION,0.0,0.0038537981267857,CLDN1,"15170668, 17091452",2.0
5,COL1A2,SOMATIC,2.018380908180692e-07,0.0,COL1A2,18254958,1.0
6,DVL3,AMPLIFICATION,0.0,0.0038537981267857,DVL3,"14676830, 16865240",2.0
7,EIF4G1,AMPLIFICATION,0.0,0.0038537981267857,EIF4G1,14676830,1.0
8,EPHA2,SOMATIC,1.561562265029652e-16,0.0,EPHA2,"12494475, 16309192, 18030354, 18425361, 18485799",5.0
9,HRAS,SOMATIC,2.2137739229868114e-21,0.0,HRAS,16676365,1.0
10,LRP1B,SOMATIC,4.228839135032655e-46,0.0,LRP1B,"15172977, 16857411, 16918994",3.0
11,MAGEC1,SOMATIC,1.496570263607284e-13,0.0,MAGEC1,16929165,1.0
12,MYNN,AMPLIFICATION,0.0,0.0038537981267857,MYNN,17409414,1.0
13,PDCD10,AMPLIFICATION,0.0,0.0038537981267857,PDCD10,17409414,1.0
14,PDE3A,SOMATIC,1.2533369131876885e-07,0.0,PDE3A,15078486,1.0
15,PIK3CA,"AMPLIFICATION, SOMATIC","0.0, 2.110354630735758e-49","0.0038537981267857, 0.0",PIK3CA,"11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972",17.0
16,PRKCI,AMPLIFICATION,0.0,0.0038537981267857,PRKCI,17990328,1.0
17,RAC1,SOMATIC,4.606038103918665e-05,0.0,RAC1,"17234718, 17592548",2.0
18,REG1A,SOMATIC,3.5624299726954185e-13,0.0,REG1A,12901795,1.0
19,RFC4,AMPLIFICATION,0.0,0.0038537981267857,RFC4,16467079,1.0
20,SOX2,AMPLIFICATION,0.0,0.0038537981267857,SOX2,15942670,1.0
21,TERC,AMPLIFICATION,0.0,0.0038537981267857,TERC,"11836556, 15221937, 16676365",3.0
22,TP53,SOMATIC,0.0,0.0,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",29.0
