ehr_drug,gene_drug,xgb_importance,xgb_absolute_importance,gene_connected_to,gene_connected_literature_support,gene_root_gene,gene_root_gene_Mut_type,gene_root_gene_q_value,gene_root_gene_empirical_q_value,gene_root_literature_support
MELATONIN,MELATONIN,0.010571836,0.010571836,ESR1,11309301,HRAS,SOMATIC,1.4855655450622938e-26,0.005960073448722,16676365
MELATONIN,MELATONIN,0.010571836,0.010571836,ESR1,11309301,PIK3CA,"AMPLIFICATION, SOMATIC","1.5505691778987169e-208, 8.841194236005348e-40","0.0043610886125468, 0.005960073448722","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
MELATONIN,MELATONIN,0.010571836,0.010571836,ESR1,11309301,TP53,SOMATIC,0.0,0.005960073448722,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957"
LEVOTHYROXINE,LEVOTHYROXINE,0.004997129,0.004997129,THRB,17210745,PIK3CA,"AMPLIFICATION, SOMATIC","1.5505691778987169e-208, 8.841194236005348e-40","0.0043610886125468, 0.005960073448722","11358835, 11836556, 11959846, 14581353, 15543611, 15586224, 15700036, 16380997, 16676365, 16807070, 16815198, 17549376, 17848307, 17989125, 17990317, 18376308, 18447972"
LEVOTHYROXINE,LEVOTHYROXINE,0.004997129,0.004997129,ITGB3,17679464,RHOA,SOMATIC,0.0051149638902022,0.005960073448722,"12082550, 16369533, 17234718"
LEVOTHYROXINE,LEVOTHYROXINE,0.004997129,0.004997129,ITGAV,18427826,RHOA,SOMATIC,0.0051149638902022,0.005960073448722,"12082550, 16369533, 17234718"
LEVOTHYROXINE,LEVOTHYROXINE,0.004997129,0.004997129,ITGB3,17679464,SELP,SOMATIC,0.0366377654726179,0.005960073448722,16135921
LEVOTHYROXINE,LEVOTHYROXINE,0.004997129,0.004997129,THRB,17210745,TP53,SOMATIC,0.0,0.005960073448722,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957"
ACETAMINOPHEN,ACETAMINOPHEN,0.004543419,0.004543419,PTGS2,18030354,CASP8,SOMATIC,1.4328145167446222e-45,0.005960073448722,16857411
ACETAMINOPHEN,ACETAMINOPHEN,0.004543419,0.004543419,PTGS2,18030354,TP53,SOMATIC,0.0,0.005960073448722,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957"
METHYLPREDNISOLONE,METHYLPREDNISOLONE,0.004250356,0.004250356,ANXA1,"16270603, 16627980, 16899607",SOX2,AMPLIFICATION,1.960361075687212e-205,0.0043610886125468,15942670
METHYLPREDNISOLONE,METHYLPREDNISOLONE,0.004250356,0.004250356,ANXA1,"16270603, 16627980, 16899607",TP53,SOMATIC,0.0,0.005960073448722,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,CCND1,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",BCL6,AMPLIFICATION,5.884151323631562e-198,0.0043610886125468,"11224600, 11420458, 14685876, 17429099"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",BCL6,AMPLIFICATION,5.884151323631562e-198,0.0043610886125468,"11224600, 11420458, 14685876, 17429099"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,MYC,"11368094, 11911252, 14499691, 16807070, 18000363",BCL6,AMPLIFICATION,5.884151323631562e-198,0.0043610886125468,"11224600, 11420458, 14685876, 17429099"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,MYC,"11368094, 11911252, 14499691, 16807070, 18000363",CASP8,SOMATIC,1.4328145167446222e-45,0.005960073448722,16857411
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,PTGS2,18030354,CASP8,SOMATIC,1.4328145167446222e-45,0.005960073448722,16857411
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",CASP8,SOMATIC,1.4328145167446222e-45,0.005960073448722,16857411
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,CCND1,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",CDKN2A,"DELETION, SOMATIC","0.0, 2.518854531227791e-131","0.0191896189995049, 0.005960073448722","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,MYC,"11368094, 11911252, 14499691, 16807070, 18000363",CDKN2A,"DELETION, SOMATIC","0.0, 2.518854531227791e-131","0.0191896189995049, 0.005960073448722","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",CDKN2A,"DELETION, SOMATIC","0.0, 2.518854531227791e-131","0.0191896189995049, 0.005960073448722","11309301, 11720478, 12459644, 12632081, 12684406, 14586645, 14654786, 14991744, 15083191, 15495191, 16278815, 16713672, 16849682, 17079134, 17117177, 18413807"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,CCND1,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",CDKN2B,DELETION,0.0,0.0191896189995049,"12632081, 17673925"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",CDKN2B,DELETION,0.0,0.0191896189995049,"12632081, 17673925"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,MYC,"11368094, 11911252, 14499691, 16807070, 18000363",CDKN2B,DELETION,0.0,0.0191896189995049,"12632081, 17673925"
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,TP53,"11390535, 11445847, 11445859, 11916556, 12589859, 12673364, 12673679, 12702551, 12708486, 12935924, 14689060, 15240783, 15810068, 15965904, 16012721, 16393249, 16455286, 16682429, 16713672, 16847809, 16903330, 16969480, 17258495, 17312781, 17565818, 17638058, 17693665, 17725429, 17908957",HLA-A,SOMATIC,3.134055903831376e-07,0.005960073448722,11577000
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,CCND1,"11470749, 11859213, 11958128, 12649172, 14499691, 14581353, 14586645, 14603450, 14697637, 15195525, 15846092, 16001430, 16235239, 16446704, 16490596, 16807070, 16815198, 16906560, 16954163, 17065789, 17487429, 17641416, 18251939, 18398822, 18405350",HRAS,SOMATIC,1.4855655450622938e-26,0.005960073448722,16676365
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,0.003260682,0.003260682,MYC,"11368094, 11911252, 14499691, 16807070, 18000363",HRAS,SOMATIC,1.4855655450622938e-26,0.005960073448722,16676365
